"filename", "language", "YAML", "Dart", "HTML", "Properties", "C++", "JSON", "Markdown", "Groovy", "Swift", "XML", "comment", "blank", "total"
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\coin_details\coin_detail.dart", "Dart", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 138
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_buttom\custom_button.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 77
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_drawer\custom_drawer.dart", "Dart", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 151
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_form_field\custom_form_field.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_incremental_button\custom_incremental_button.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 66
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_selection\custom_selection.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_snack_bar\custom_snack_bar.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_switch\custom_switch.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 65
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_table\custom_table.dart", "Dart", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 121
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_text_field\custom_text_field.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\custom_top_bar\custom_top_bar.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 81
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\line_chart\home_line_chart.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 70
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\loading\loading.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\loading_animation\loading_animation.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\text_component\text_component.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\title_header\title_header.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 100
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\trade_action_button\trade_action_button.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 74
